School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
99,Daisy Hill State School,-27.643208,153.153424,State School,N,,,20-50,Daisy Hill Road,Daisy Hill,4127,Principal,20-50 Daisy Hill Road,Daisy Hill,,4127,7,(07) 3386 5222,N,(07) 3808 7232,www.daisyhillss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Springwood,Logan (C),99,Daisy Hill State School,State School,
100,Windsor SS - Special Education Program,-27.430523,153.029634,Special Education Program,N,,,,Harris Street,Windsor,4030,Head of Special Education Services,Harris Street,Windsor,,4030,5,(07) 3866 4333,N,(07) 3866 4300,www.windsorss.eq.edu.au,Prep Year,Year 6,Metropolitan,Brisbane,Clayfield,Brisbane (C),11,Windsor State School,State School,
102,Springsure State School,-24.115796,148.088535,State School,N,,,55,Eclipse Street,Springsure,4722,Principal,PO Box 24,Springsure,,4722,7,(07) 4981 4333,N,(07) 4984 1634,www.springsuss.eq.edu.au,Prep Year,Year 10,Central Queensland,Flynn,Gregory,Central Highlands (R),102,Springsure State School,State School,
103,St Lawrence State School,-22.344932,149.529711,State School,N,,,,Macartney Street,St Lawrence,4707,Principal,PO Box 22,St Lawrence,,4707,5,(07) 4956 9134,Y,(07) 4956 9270,www.stlawrenss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Mirani,Isaac (R),103,St Lawrence State School,State School,
105,Taroom State School,-25.638957,149.800578,State School,N,,,,Wolsey Street,Taroom,4420,Principal,PO Box 201,Taroom,,4420,7,(07) 4628 9333,N,(07) 4628 9300,www.taroomss.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Flynn,Callide,Banana (S),105,Taroom State School,State School,
106,Tent Hill Lower State School,-27.591555,152.236121,State School,N,,,90,Lower Tenthill Road,Lower Tenthill,4343,Principal,90 Lower Tenthill Road,Lower Tenthill,via Gatton,4343,5,(07) 5462 7109,N,(07) 5462 7428,www.tenthllwss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),106,Tent Hill Lower State School,State School,
107,Tiaro State School,-25.728166,152.581126,State School,N,,,1,Forgan Terrace,Tiaro,4650,Principal,c/- Post Office,Tiaro,,4650,5,(07) 4129 2196,N,,www.tiaross.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Maryborough,Fraser Coast (R),107,Tiaro State School,State School,
108,Ironside State School,-27.500916,152.995977,State School,Y,,,2,Hawken Drive,St Lucia,4067,Principal,2 Hawken Drive,St Lucia,,4067,10,(07) 3258 3111,N,(07) 3258 3100,www.ironsidess.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Maiwar,Brisbane (C),108,Ironside State School,State School,
110,Toowoomba North State School,-27.556538,151.948788,State School,N,,,,Cnr Mort & Taylor Streets,Toowoomba,4350,Principal,Cnr Mort & Taylor Streets,Toowoomba,,4350,6,(07) 4617 8333,N,(07) 4617 8300,www.toownortss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),110,Toowoomba North State School,State School,
111,Goombungee State School,-27.302058,151.852555,State School,N,,,52,Mocatta Street,Goombungee,4354,Principal,PO Box 45,Goombungee,,4354,6,(07) 4612 6888,N,(07) 4696 5047,www.goombungss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),111,Goombungee State School,State School,
113,Townsville Central State School,-19.251075,146.812035,State School,N,,,4,Warburton Street,North Ward,4810,Principal,4 Warburton Street,North Ward,Townsville,4810,7,(07) 4722 6333,N,(07) 4721 5991,www.towncentss.eq.edu.au,Prep Year,Year 6,North Queensland,Herbert,Townsville,Townsville (C),113,Townsville Central State School,State School,
114,Haigslea State School,-27.571711,152.629711,State School,N,,,,Thagoona-Haigslea Road,Haigslea,4306,Principal,MS 292,Haigslea,,4306,5,(07) 5464 4283,N,(07) 5464 4499,www.haigsleass.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),114,Haigslea State School,State School,
115,Amberley District State School,-27.65749,152.750141,State School,N,,,37,Deebing Creek Road,Yamanto,4305,Principal,37 Deebing Creek Road,Yamanto,,4305,10,(07) 3280 3111,N,(07) 3288 0313,www.amberleydistrictss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),115,Amberley District State School,State School,
116,Warwick Central State School,-28.21772,152.029451,State School,N,,,,Cnr Guy & Percy Streets,Warwick,4370,Principal,PO Box 217,Warwick,,4370,7,(07) 4660 4333,N,(07) 4661 1012,www.warwcentss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),116,Warwick Central State School,State School,
117,Cordalba State School,-25.158744,152.212185,State School,Y,,,,Cemetery Road,Cordalba,4660,Principal,Cemetery Road,Cordalba,,4660,6,(07) 4126 6184,N,(07) 4126 6114,www.cordalbass.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Burnett,Bundaberg (R),117,Cordalba State School,State School,
118,Dutton Park SS - Special Education Program,-27.493979,153.027914,Special Education Program,N,,,112,Annerley Road,Dutton Park,4102,Teacher-in-Charge,112 Annerley Road,Dutton Park,,4102,,(07) 3010 8326,N,(07) 3010 8300,,Prep Year,Year 6,Metropolitan,Griffith,South Brisbane,Brisbane (C),506,Dutton Park State School,State School,
119,Westwood State School,-23.617343,150.154504,State School,N,,,108,Herbert Street,Westwood,4702,Principal,PO Box 5,Westwood,,4702,5,(07) 4934 7682,N,(07) 4934 7605,www.westwoodss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Mirani,Rockhampton (R),119,Westwood State School,State School,
121,Fairview Heights SS - Special Education Program,-27.535058,151.911557,Special Education Program,N,,,75,McDougall Street,Wilsonton,4350,Head of Special Education Services,75 McDougall Street,Toowoomba,,4350,6,(07) 4659 2823,N,(07) 4659 2824,www.fairheigss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),1751,Fairview Heights State School,State School,
122,Woodhill State School,-27.892934,152.973734,State School,N,,,6027,Mount Lindesay Highway,Woodhill,4285,Principal,6027 Mount Lindesay Highway,Woodhill,,4285,7,(07) 5548 9222,N,(07) 5548 9200,www.woodhillss.eq.edu.au,Prep Year,Year 6,South East,Wright,Scenic Rim,Logan (C),122,Woodhill State School,State School,
123,Logan Village State School,-27.765317,153.106354,State School,N,,,,North Street,Logan Village,4207,Principal,North Street,Logan Village,,4207,9,(07) 5547 2222,N,(07) 5547 2200,www.logavillss.eq.edu.au,Prep Year,Year 6,South East,Wright,Logan,Logan (C),123,Logan Village State School,State School,
124,Coomera State School,-27.868623,153.315288,State School,N,,,,Dreamworld Parkway,Coomera,4209,Principal,Dreamworld Parkway,Coomera,,4209,10,(07) 5519 6333,N,(07) 5519 6300,www.coomerass.eq.edu.au,Early Childhood,Year 6,South East,Fadden,Theodore,Gold Coast (C),124,Coomera State School,State School,
125,Morayfield State School,-27.106524,152.947224,State School,N,,,196-230,Morayfield Road,Morayfield,4506,Principal,196-230 Morayfield Road,Morayfield,,4506,9,(07) 5431 6222,N,(07) 5431 6200,www.morayfieldss.eq.edu.au,Prep Year,Year 6,North Coast,Longman,Morayfield,Moreton Bay (R),125,Morayfield State School,State School,
126,Glenvale State School,-27.562532,151.902838,State School,N,,,224,Glenvale Road,Glenvale,4350,Principal,224 Glenvale Road,Toowoomba,,4350,9,(07) 4659 2111,N,(07) 4659 2100,www.glenvaless.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),126,Glenvale State School,State School,
127,Tingalpa State School,-27.473506,153.126433,State School,N,,,1546,Wynnum Road,Tingalpa,4173,Principal,PO Box 2050,Tingalpa,,4173,8,(07) 3890 6777,N,(07) 3890 6700,www.tingalpass.eq.edu.au,Prep Year,Year 6,Metropolitan,Bonner,Lytton,Brisbane (C),127,Tingalpa State School,State School,
128,Upper Mount Gravatt State School,-27.556476,153.079941,State School,Y,,,1899,Logan Road,Upper Mount Gravatt,4122,Principal,1899 Logan Road,Upper Mount Gravatt,,4122,8,(07) 3421 3111,N,(07) 3421 3100,www.upmtgravss.eq.edu.au,Prep Year,Year 6,Metropolitan,Bonner,Mansfield,Brisbane (C),128,Upper Mount Gravatt State School,State School,
129,Stanwell State School,-23.485269,150.321598,State School,N,,,10,Teakle Street,Stanwell,4702,Principal,10 Teakle Street,Stanwell,,4702,5,(07) 4934 7174,N,(07) 4934 7408,www.stanwellss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Mirani,Rockhampton (R),129,Stanwell State School,State School,
130,Waterford State School,-27.69595,153.145407,State School,N,,,40,Nerang Street,Waterford,4133,Principal,40 Nerang Street,Waterford,,4133,9,(07) 3451 8222,N,(07) 3451 8200,www.waterforss.eq.edu.au,Early Childhood,Year 6,South East,Forde,Waterford,Logan (C),130,Waterford State School,State School,
131,Rosewood State School,-27.643552,152.592667,State School,N,,,,School Street,Rosewood,4340,Principal,PO Box 165,Rosewood,,4340,7,(07) 5461 9333,N,(07) 5461 9300,www.rosewoodss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),131,Rosewood State School,State School,
132,Stanthorpe State School,-28.64986,151.9343,State School,N,,,,Marsh Street,Stanthorpe,4380,Principal,PO Box 97,Stanthorpe,,4380,8,(07) 4681 5111,N,(07) 4681 5100,www.stanthorpess.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),132,Stanthorpe State School,State School,
133,Geebung SPEC S - Early Childhood Development Program,-27.378541,153.050949,Special Education Program,N,,,,Beau Vista Street,Geebung,4034,Head of Special Education Services,Beau Vista Street,Geebung,,4034,,(07) 3632 1777,N,(07) 3632 1700,www.geebungspecs.eq.edu.au,Early Childhood,Early Childhood,Metropolitan,Lilley,Aspley,Brisbane (C),3077,Geebung Special School,Special School,
134,St George State School,-28.037716,148.580719,State School,N,,,,Grey Street,St George,4487,Principal,PO Box 231,St George,,4487,8,(07) 4620 8333,N,(07) 4620 8300,www.stgeorgess.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Maranoa,Warrego,Balonne (S),134,St George State School,State School,
135,Cawarral State School,-23.253978,150.675628,State School,N,,,125,Annie Drive,Cawarral,4702,Principal,125 Annie Drive,Cawarral,,4702,6,(07) 4920 9333,N,(07) 4935 4202,www.cawarralss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Keppel,Livingstone (S),135,Cawarral State School,State School,
136,Cardwell State School,-18.268797,146.03085,State School,N,,,43,Victoria Street,Cardwell,4849,Principal,43 Victoria Street,Cardwell,,4849,6,(07) 4063 6222,N,(07) 4066 8588,www.cardwellss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Kennedy,Hinchinbrook,Cassowary Coast (R),136,Cardwell State School,State School,
140,Pullenvale State School,-27.532618,152.895344,State School,Y,,,120,Grandview Road,Pullenvale,4069,Principal,PO Box 1204,Kenmore,,4069,8,(07) 3202 0333,N,(07) 3202 0300,www.pullenvaless.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),140,Pullenvale State School,State School,
141,Ravenswood State School,-20.103639,146.889506,State School,N,,,,School Street,Ravenswood,4816,Principal,School Street,Ravenswood,,4816,5,(07) 4770 2152,N,,www.ravenswoss.eq.edu.au,Early Childhood,Year 6,North Queensland,Kennedy,Traeger,Charters Towers (R),141,Ravenswood State School,State School,
142,Surat State School,-27.154329,149.067062,State School,N,,,55,Robert Street,Surat,4417,Principal,55 Robert Street,Surat,,4417,7,(07) 4626 4333,N,(07) 4626 4300,www.suratss.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Maranoa,Warrego,Maranoa (R),142,Surat State School,State School,
143,Mansfield State School,-27.542384,153.105369,State School,N,,,174,Ham Road,Mansfield,4122,Principal,174 Ham Road,Mansfield,,4122,10,(07) 3421 3888,N,(07) 3421 3800,www.mansfielss.eq.edu.au,Prep Year,Year 6,Metropolitan,Bonner,Mansfield,Brisbane (C),143,Mansfield State School,State School,
144,Roma State College - Junior Campus,-26.573666,148.787598,Campus,N,,,28,Bowen Street,Roma,4455,Head of Campus,PO Box 623,Roma,,4455,8,(07) 4620 1111,N,(07) 4620 1100,www.romasc.eq.edu.au,Early Childhood,Year 3,Darling Downs South West,Maranoa,Warrego,Maranoa (R),5666,Roma State College,State School,
145,Grandchester State School,-27.665537,152.465345,State School,N,,,,School Road,Grandchester,4340,Principal,MS 366,Rosewood,,4340,5,(07) 5466 9222,N,(07) 5465 5198,www.grandchess.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Scenic Rim,Ipswich (C),145,Grandchester State School,State School,
149,Glamorgan Vale State School,-27.51499,152.632362,State School,N,,,750,Glamorgan Vale Road,Glamorgan Vale,4306,Principal,Mail Service 1020,Fernvale,,4306,5,(07) 5426 6144,N,(07) 5426 6291,www.glamvaless.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Lockyer,Somerset (R),149,Glamorgan Vale State School,State School,
150,Tambo State School,-24.884526,146.253757,State School,N,,A Block,20,Mitchell Street,Tambo,4478,Principal,20 Mitchell Street,Tambo,,4478,7,(07) 4621 7333,N,(07) 4621 7300,www.tamboss.eq.edu.au,Early Childhood,Year 10,Darling Downs South West,Maranoa,Gregory,Blackall Tambo (R),150,Tambo State School,State School,
151,Yangan State School,-28.197677,152.21555,State School,N,,,,King Street,Yangan,4371,Principal,c/- Post Office,Yangan,,4371,6,(07) 4664 8224,N,(07) 4664 8417,www.yanganss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),151,Yangan State School,State School,
152,Mutdapilly State School,-27.771042,152.650646,State School,N,,,4,Mutdapilly-Churchbank Weir Road,Mutdapilly,4307,Principal,4 Mutdapilly-Churchbank Weir Road,Mutdapilly,,4307,5,(07) 5467 1338,N,(07) 5467 1443,www.mutdapilss.eq.edu.au,Prep Year,Year 6,South East,Wright,Scenic Rim,Scenic Rim (R),152,Mutdapilly State School,State School,
153,Sandgate State School,-27.320893,153.065898,State School,N,,,54,Rainbow Street,Sandgate,4017,Principal,54 Rainbow Street,Sandgate,,4017,8,(07) 3869 7111,N,(07) 3869 7100,www.sandgatess.eq.edu.au,Prep Year,Year 6,Metropolitan,Lilley,Sandgate,Brisbane (C),153,Sandgate State School,State School,
154,Emu Creek State School,-27.783359,151.944806,State School,N,,,14534,New England Highway,East Greenmount,4359,Principal,14534 New England Highway,Greenmount East,,4359,5,(07) 4697 1171,N,(07) 4697 1327,www.emucreekss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),154,Emu Creek State School,State School,
155,Allenstown State School,-23.391906,150.502671,State School,N,,,,Upper Dawson Road,Allenstown,4700,Principal,PO Box 8444,Allenstown,,4700,8,(07) 4930 0111,N,(07) 4930 0100,www.allenstownss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),155,Allenstown State School,State School,
157,Millchester State School,-20.0891,146.275344,State School,N,,,,Cnr Bluff & Phillipson Roads,Millchester,4820,Principal,PO Box 732,Charters Towers,,4820,7,(07) 4754 6666,N,(07) 4754 6600,www.millchesss.eq.edu.au,Prep Year,Year 6,North Queensland,Kennedy,Traeger,Charters Towers (R),157,Millchester State School,State School,
158,Beaudesert State School,-27.988875,153.002363,State School,N,,,17,Tina Street,Beaudesert,4285,Principal,PO Box 182,Beaudesert,,4285,9,(07) 5540 1111,N,(07) 5540 1100,www.beaudesertss.eq.edu.au,Early Childhood,Year 6,South East,Wright,Scenic Rim,Scenic Rim (R),158,Beaudesert State School,State School,
159,Mudgeeraba Creek State School,-28.086798,153.347063,State School,N,,,,Gold Coast-Springbrook Road,Mudgeeraba,4213,Principal,PO Box 465,Mudgeeraba,,4213,9,(07) 5565 0333,N,(07) 5565 0300,www.mudgcreess.eq.edu.au,Prep Year,Year 6,South East,Wright,Mudgeeraba,Gold Coast (C),159,Mudgeeraba Creek State School,State School,
160,Cedar Creek State School,-27.827597,153.179275,State School,N,,,1a,Chardon Bridge Road,Cedar Creek,4207,Principal,1a Chardon Bridge Road,Cedar Creek,,4207,7,(07) 5549 7333,N,(07) 5546 4120,www.cedarcreekss.eq.edu.au,Prep Year,Year 6,South East,Forde,Coomera,Gold Coast (C),160,Cedar Creek State School,State School,
161,Bundaberg North State School,-24.851878,152.340454,State School,N,,,,Mount Perry Road,Bundaberg North,4670,Principal,Mount Perry Road,Bundaberg North,,4670,8,(07) 4150 1111,N,,www.bundnortss.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Bundaberg,Bundaberg (R),161,Bundaberg North State School,State School,
162,Clontarf Beach State School,-27.253394,153.08111,State School,N,,,,Elizabeth Avenue,Clontarf,4019,Principal,PO Box 3225,Clontarf DC,Clontarf,4019,8,(07) 3897 5888,N,(07) 3897 5800,www.clonbeacss.eq.edu.au,Prep Year,Year 6,North Coast,Petrie,Redcliffe,Moreton Bay (R),162,Clontarf Beach State School,State School,
163,Killarney P-10 State School,-28.341322,152.297866,State School,N,,,,Acacia Street,Killarney,4373,Principal,Acacia Street,Killarney,,4373,8,(07) 4664 6333,N,(07) 4664 6300,www.killarness.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),163,Killarney P-10 State School,State School,
164,Humpybong State School,-27.246227,153.108737,State School,Y,,,,Ernest Street,Margate,4019,Principal,Ernest Street,Margate,,4019,10,(07) 3385 1666,N,(07) 3284 6730,www.humpybongss.eq.edu.au,Prep Year,Year 6,North Coast,Petrie,Redcliffe,Moreton Bay (R),164,Humpybong State School,State School,
165,Croydon State School,-18.203756,142.249391,State School,N,,,,Brown Street,Croydon,4871,Principal,Brown Street,Croydon,,4871,5,(07) 4745 6197,N,(07) 4745 6101,www.croydonss.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Kennedy,Traeger,Croydon (S),165,Croydon State School,State School,
166,Oakey State School,-27.439355,151.720502,State School,N,,,24,Campbell Street,Oakey,4401,Principal,PO Box 340,Oakey,,4401,8,(07) 4692 0333,N,(07) 4692 0300,www.oakeyss.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),166,Oakey State School,State School,
167,Mossman State School,-16.461721,145.374373,State School,N,,,30-34,Front Street,Mossman,4873,Principal,PO Box 163,Mossman,,4873,7,(07) 4099 9333,N,(07) 4098 1491,www.mossmanss.eq.edu.au,Prep Year,Year 6,Far North Queensland,Leichhardt,Cook,Douglas (S),167,Mossman State School,State School,
168,Kilkivan State School,-26.087733,152.241373,State School,N,,,6,Council Street,Kilkivan,4600,Principal,6 Council Street,Kilkivan,,4600,7,(07) 5487 3333,N,(07) 5487 3300,www.kilkivanss.eq.edu.au,Prep Year,Year 10,North Coast,Wide Bay,Nanango,Gympie (R),168,Kilkivan State School,State School,
170,Fernvale State School,-27.446767,152.644116,State School,N,,,,Brisbane Valley Highway,Fernvale,4306,Principal,Brisbane Valley Highway,Fernvale,,4306,9,(07) 5427 1333,N,(07) 5427 1300,www.fernvaless.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Lockyer,Somerset (R),170,Fernvale State School,State School,
171,Clare State School,-19.783298,147.226883,State School,N,,,,Larkin Street,Clare,4807,Principal,c/- Post Office,Claredale,,4807,5,(07) 4782 7133,N,(07) 4782 7341,www.claress.eq.edu.au,Prep Year,Year 6,North Queensland,Dawson,Burdekin,Burdekin (S),171,Clare State School,State School,
172,Clinton State School,-23.880021,151.222868,State School,N,,,,Harvey Road,Clinton,4680,Principal,Harvey Road,Gladstone,,4680,10,(07) 4978 9333,N,(07) 4978 1952,www.clintonss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),172,Clinton State School,State School,
